k,y_A,u_A,y_B,u_B
0,0,0.2,0,0.2
1,0,0.4,0,0.4
2,0.05426,0.6,0.05426,0.6
3,0.153833,0.8,0.153833,0.8
4,0.291246,0.954509,0.291246,1
5,0.460259,0.955519,0.460259,1
6,0.643321,0.88713,0.655662,0.997253
7,0.796469,0.800995,0.818844,0.905352
8,0.90581,0.723915,0.954371,0.801535
9,0.973752,0.666178,1.04262,0.703708
10,1.00958,0.628593,1.08815,0.625442
11,1.02383,0.607536,1.09963,0.572316
12,1.02554,0.598097,1.08798,0.543996
13,1.02125,0.595767,1.06384,0.536305
14,1.01511,0.597101,1.036,0.543215
15,1.00935,0.599824,1.01066,0.558458
16,1.0049,0.602634,0.991379,0.576613
17,1.00193,0.604926,0.979411,0.593684
18,1.0002,0.606531,0.974341,0.607247
19,0.999386,0.607509,0.974739,0.616295
20,0.999139,0.60801,0.97875,0.620909
21,0.999199,0.608192,0.984555,0.621862
22,0.999384,0.608191,0.990655,0.62026
23,0.999588,0.608121,0.996007,0.617247
24,0.999758,0.608074,1.00004,0.613805
25,0.999881,0.608129,1.00259,0.610655
26,0.999971,0.608364,1.00379,0.608235
27,1.00006,0.608837,1.00394,0.606719
28,1.0002,0.609563,1.0034,0.60608
29,1.00044,0.610459,1.00254,0.606148
30,1.00085,0.6114,1.00165,0.60669
31,1.00142,0.611988,1.00093,0.607402
32,1.00216,0.612034,1.00047,0.608055
33,1.00294,0.611497,1.00028,0.608496
34,1.0036,0.610463,1.0003,0.608655
35,1.004,0.609138,1.00044,0.608537
36,1.00406,0.607887,1.00059,0.608212
37,1.00375,0.60697,1.00069,0.60781
38,1.00315,0.606475,1.00068,0.607454
39,1.0024,0.606359,1.00057,0.60722
40,1.00164,0.606508,1.00038,0.607135
41,1.00098,0.606797,1.00016,0.607186
42,1.00046,0.607122,0.999945,0.607333
43,1.00011,0.607413,0.999784,0.607529
44,0.999904,0.607636,0.999689,0.607726
45,0.999811,0.607784,0.999663,0.607891
46,0.999794,0.607867,0.999695,0.608001
47,0.99982,0.607901,0.999766,0.608053
48,0.999864,0.607903,0.999855,0.608053
49,0.99991,0.607888,0.999944,0.608014
50,0.999949,0.607868,1.00002,0.607954
51,0.999977,0.607848,1.00007,0.607888
52,0.999996,0.607833,1.0001,0.607828
53,1.00001,0.607824,1.0001,0.607783
54,1.00001,0.607819,1.00009,0.607756
55,1.00001,0.607819,1.00006,0.607746
56,1.00001,0.607822,1.00004,0.60775
57,1.00001,0.607826,1.00001,0.607763
58,1.00001,0.607828,0.999994,0.607781
59,1.00001,0.607829,0.999981,0.607798
60,1.00001,0.607826,0.999975,0.607813
61,1.00002,0.60782,0.999975,0.607823
62,1.00002,0.607811,0.999979,0.607829
63,1.00001,0.607802,0.999985,0.60783
64,1.00001,0.607795,0.999991,0.607828
65,1.00001,0.60779,0.999997,0.607824
66,1,0.60779,1,0.607819
67,0.999994,0.607793,1,0.607815
68,0.999988,0.607799,1,0.607813
69,0.999984,0.607805,1,0.607811
70,0.999983,0.607812,1,0.607811
71,0.999983,0.607817,1,0.607812
72,0.999985,0.60782,1,0.607813
73,0.999988,0.607821,1,0.607814
74,0.999992,0.607821,0.999999,0.607815
75,0.999995,0.60782,0.999999,0.607815
76,0.999997,0.607818,0.999999,0.607815
77,0.999999,0.607817,1,0.607815
78,1,0.607816,1,0.607815
79,1,0.607815,1,0.607815
80,1,0.607814,1,0.607814
81,1,0.607814,1,0.607814
82,1,0.607814,1,0.607814
83,1,0.607814,1,0.607814
84,1,0.607814,1,0.607814
85,1,0.607814,1,0.607814
86,1,0.607814,1,0.607814
87,1,0.607814,1,0.607814
88,1,0.607814,1,0.607814
89,1,0.607814,1,0.607814
90,1,0.607814,1,0.607814
91,1,0.607814,1,0.607814
92,1,0.607814,1,0.607814
93,1,0.607814,1,0.607814
94,1,0.607814,1,0.607814
95,1,0.607814,1,0.607814
96,1,0.607814,1,0.607814
97,1,0.607814,1,0.607814
98,1,0.607814,1,0.607814
99,1,0.607814,1,0.607814
